electrode_id	probe_id	location
463	NeuropixelsImec0	right dCA1
464	NeuropixelsImec0	right dCA1
465	NeuropixelsImec0	right dCA1
466	NeuropixelsImec0	right dCA1
467	NeuropixelsImec0	right dCA1
468	NeuropixelsImec0	right dCA1
469	NeuropixelsImec0	right dCA1
470	NeuropixelsImec0	right dCA1
471	NeuropixelsImec0	right dCA1
472	NeuropixelsImec0	right dCA1
473	NeuropixelsImec0	right dCA1
474	NeuropixelsImec0	right dCA1
475	NeuropixelsImec0	right dCA1
476	NeuropixelsImec0	right dCA1
477	NeuropixelsImec0	right dCA1
478	NeuropixelsImec0	right dCA1
479	NeuropixelsImec0	right dCA1
480	NeuropixelsImec0	right dCA1
481	NeuropixelsImec0	right dCA1
482	NeuropixelsImec0	right dCA1
483	NeuropixelsImec0	right dCA1
484	NeuropixelsImec0	right dCA1
485	NeuropixelsImec0	right dCA1
486	NeuropixelsImec0	right dCA1
487	NeuropixelsImec0	right dCA1
488	NeuropixelsImec0	right dCA1
489	NeuropixelsImec0	right dCA1
490	NeuropixelsImec0	right dCA1
491	NeuropixelsImec0	right dCA1
492	NeuropixelsImec0	right dCA1
493	NeuropixelsImec0	right dCA1
494	NeuropixelsImec0	right dCA1
495	NeuropixelsImec0	right dCA1
496	NeuropixelsImec0	right dCA1
497	NeuropixelsImec0	right dCA1
498	NeuropixelsImec0	right dCA1
499	NeuropixelsImec0	right dCA1
500	NeuropixelsImec0	right dCA1
501	NeuropixelsImec0	right dCA1
502	NeuropixelsImec0	right dCA1
503	NeuropixelsImec0	right dCA1
504	NeuropixelsImec0	right dCA1
505	NeuropixelsImec0	right dCA1
506	NeuropixelsImec0	right dCA1
507	NeuropixelsImec0	right dCA1
508	NeuropixelsImec0	right dCA1
509	NeuropixelsImec0	right dCA1
510	NeuropixelsImec0	right dCA1
511	NeuropixelsImec0	right dCA1
512	NeuropixelsImec0	right dCA1
513	NeuropixelsImec0	right dCA1
514	NeuropixelsImec0	right dCA1
515	NeuropixelsImec0	right dCA1
516	NeuropixelsImec0	right dCA1
517	NeuropixelsImec0	right dCA1
518	NeuropixelsImec0	right dCA1
519	NeuropixelsImec0	right dCA1
520	NeuropixelsImec0	right dCA1
521	NeuropixelsImec0	right dCA1
522	NeuropixelsImec0	right dCA1
